,u,i,ts,label,idx
541,12367,5256,18713.0,0.0,5777
542,13129,14648,18713.0,0.0,3018
543,15267,5256,18715.0,0.0,3345
544,13129,14648,18715.0,0.0,2630
545,9501,13870,18716.0,0.0,5957
546,15267,13673,18725.0,0.0,6080
547,13129,14648,18727.0,0.0,3019
548,15185,15185,18727.0,0.0,5509
549,15267,13673,18728.0,0.0,6229
550,506,14511,18732.0,0.0,6920
551,506,12471,18733.0,0.0,6920
552,506,11846,18733.0,0.0,6920
553,15185,15185,18735.0,0.0,2437
554,13129,14648,18739.0,0.0,3020
555,15185,15185,18747.0,0.0,3184
556,13129,14648,18750.0,0.0,2629
557,353,3681,18752.0,0.0,3814
558,9501,10404,18756.0,0.0,4534
559,13129,14648,18760.0,0.0,864
560,15185,15185,18768.0,0.0,5508
561,5813,5800,18771.0,0.0,2328
562,13129,14648,18784.0,0.0,4043
563,41,8678,18796.0,0.0,2804
564,12643,12968,18797.0,0.0,2210
565,506,13634,18805.0,0.0,6920
566,15267,1761,18810.0,0.0,6229
567,506,14598,18815.0,0.0,6920
568,800,2707,18819.0,0.0,6220
569,506,2077,18824.0,0.0,6920
570,9501,6011,18830.0,0.0,5957
571,2187,4505,18832.0,0.0,3408
572,800,2707,18833.0,0.0,5519
573,800,2707,18842.0,0.0,6217
574,800,2707,18848.0,0.0,5294
575,506,14695,18850.0,0.0,6920
576,2283,1600,18872.0,0.0,1851
577,12643,12471,18879.0,0.0,2210
578,506,14983,18882.0,0.0,6920
579,3789,10706,18888.0,0.0,741
580,15073,15073,18905.0,0.0,466
581,15267,14481,18905.0,0.0,6229
582,15267,14481,18917.0,0.0,6080
583,506,14563,18919.0,0.0,6920
584,3789,9103,18934.0,0.0,741
585,3789,12271,18934.0,0.0,741
586,506,13070,18942.0,0.0,6920
587,9501,4505,18943.0,0.0,4856
588,506,14807,18955.0,0.0,6920
589,15267,15547,19018.0,0.0,3342
590,15267,12471,19025.0,0.0,3345
591,12767,12767,19039.0,0.0,2655
